candidate_id,split,instance,n,family,seed,raw_gap,final_gap,eval_gain,runtime_construct_s,runtime_eval_s,runtime_total_s,repaired
ba4bf43bdc7c,train,dsj1000,1000,random,0,14.241052690698794,7.83926826643618,6.401784424262614,1.246204137802124,6.314627170562744,7.560831308364868,True
ba4bf43bdc7c,train,pr1002,1002,tsplib,0,21.818216912119517,9.564747437703874,12.25346947441564,1.2908504009246826,5.403727769851685,6.694578170776367,True
ba4bf43bdc7c,train,d1291,1291,tsplib,0,18.767347099466548,8.692742268852975,10.074604830613572,2.060053825378418,2.3076627254486084,4.367716550827026,True
ba4bf43bdc7c_val,val,fl1400,1400,tsplib,3,6.603070502310329,5.00322949272122,1.599841009589109,2.466278076171875,7.163694143295288,9.629972219467165,True
ba4bf43bdc7c_val,val,fl1400,1400,tsplib,4,6.603070502310329,5.00322949272122,1.599841009589109,2.480259656906128,4.679721832275391,7.159981489181519,True
ba4bf43bdc7c_val,val,fl1400,1400,tsplib,5,7.094947086003875,4.570974313111741,2.523972772892134,2.7876224517822266,5.991639614105225,8.779262065887451,True
ba4bf43bdc7c_val,val,pcb1173,1173,tsplib,3,26.518666947901288,9.43893693313647,17.07973001476482,1.689497709274292,3.300516366958618,4.99001407623291,True
ba4bf43bdc7c_val,val,pcb1173,1173,tsplib,4,26.518666947901288,9.43893693313647,17.07973001476482,2.214641094207764,4.476513862609863,6.691154956817627,True
ba4bf43bdc7c_val,val,pcb1173,1173,tsplib,5,27.29909301835056,9.217464669900863,18.08162834844969,1.7049973011016846,6.40437912940979,8.109376430511475,True
ba4bf43bdc7c_test,test,rl1304,1304,tsplib,6,21.25061277416702,13.51186805193162,7.738744722235399,3.765625,4.451364278793335,8.216989278793335,True
ba4bf43bdc7c_test,test,rl1304,1304,tsplib,7,20.49393551243734,12.16574157534355,8.32819393709379,2.144359350204468,6.870327711105347,9.014687061309814,True
ba4bf43bdc7c_test,test,rl1304,1304,tsplib,8,19.192086911143797,11.477062479244744,7.715024431899048,2.2574422359466557,1.8977532386779783,4.155195474624634,True
ba4bf43bdc7c_test,test,u1817,1817,tsplib,6,26.036258107375744,26.036258107375744,0.0,4.085847854614258,7.387559652328491,11.473407506942747,True
ba4bf43bdc7c_test,test,u1817,1817,tsplib,7,25.99779724130697,25.99779724130697,0.0,4.011559963226318,7.387575626373291,11.39913558959961,True
ba4bf43bdc7c_test,test,u1817,1817,tsplib,8,26.221569552979844,13.477037114735758,12.744532438244086,4.047813177108765,7.387610197067261,11.435423374176024,True
